"","pid","sex","dobm","doby","memorig","plbornc","race","paju","maju","lprnt","lnprnt","ch1bm","ch1by","scend","bwtgm","pagold","pargsc","magold","margsc","j1gold","j1rgsc","fsource","children","ssex2","ssex3","twin1","twin2","twin3","age"
"11",10057137,"female","july",1964,"original sample",-8,"black-other","inapplicable","don't know","not applicable",-8,"not applicable",-8,15,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,45
"12",10059377,"female","february",1945,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","service class,higher grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,64
"13",10061606,"female","december",1956,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","service class,higher grade","professional occ","service class,higher grade","managerial & technical occ","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,53
"14",10062351,"female","november",1942,"original sample",52,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,67
"15",10063102,"female","march",1955,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,54
"16",10067248,"female","february",1954,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","service class,lower grade","skilled non-manual","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,55
"17",10071717,"female","march",1962,"original sample",-8,"white","father not work","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","not applicable","inapplicable","semi,unskilled manual workers","partly skilled occ","inapplicable","inapplicable","From the panel",2,1,NA,NA,NA,NA,47
"18",10079556,"female","august",1955,"original sample",-8,"black-other","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,15,"not applicable","service class,lower grade","managerial & technical occ","semi,unskilled manual workers","unskilled occ","inapplicable","inapplicable","Wave 2",4,1,1,NA,NA,NA,54
"19",10080643,"female","june",1948,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,61
"20",10087397,"female","september",1947,"original sample",25,"black-carib","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","sml props w employees","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,62
"21",10089632,"female","april",1944,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","semi,unskilled manual workers","partly skilled occ","personal service workers","partly skilled occ","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,65
"22",10091866,"female","october",1943,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,-9,"not applicable","routine non-manual employees","skilled non-manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,NA,NA,NA,NA,NA,66
"23",10094113,"female","june",1945,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","semi,unskilled manual workers","partly skilled occ","sml props w/o employees","managerial & technical occ","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,64
"24",10099719,"female","september",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","managerial & technical occ","skilled manual workers","skilled manual","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,50
"25",10101977,"female","may",1958,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","semi,unskilled manual workers","unskilled occ","semi,unskilled manual workers","unskilled occ","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,51
"26",10103066,"female","december",1956,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,17,"not applicable","service class,higher grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,1,NA,NA,NA,53
"27",10110879,"female","december",1942,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,15,"not applicable","routine non-manual employees","skilled non-manual","semi,unskilled manual workers","partly skilled occ","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,67
"28",10111999,"female","february",1942,"original sample",34,"pakistani","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,NA,NA,NA,NA,NA,67
"29",10115382,"female","may",1946,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","foreman,technicians","skilled non-manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,63
"30",10116478,"female","september",1956,"original sample",56,"pakistani","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,14,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",4,NA,1,NA,NA,NA,53
"31",10122079,"female","september",1959,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","service class,lower grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,50
"32",10127666,"female","april",1946,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,1,NA,NA,NA,63
"33",10128816,"female","april",1940,"original sample",6,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","sml props w/o employees","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",5,NA,1,NA,NA,NA,69
"34",10129901,"female","september",1962,"original sample",-8,"white","inapplicable","don't know","not applicable",-8,"not applicable",-8,17,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,47
"35",10129936,"female","november",1963,"original sample",-8,"white","inapplicable","don't know","not applicable",-8,"not applicable",-8,18,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,46
"36",10129979,"female","april",1964,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","service class,lower grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,45
"37",10138897,"female","november",1942,"original sample",6,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","farmers,smallholders","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,67
"38",10143343,"female","november",1958,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,51
"39",10148949,"female","june",1953,"original sample",26,"black-carib","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","skilled manual workers","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,56
"40",10154531,"female","december",1964,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","semi,unskilled manual workers","partly skilled occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,1,NA,2,NA,NA,45
"41",10154949,"female","october",1954,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","semi,unskilled manual workers","partly skilled occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,55
"42",10157891,"female","february",1952,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,57
"43",10161252,"female","september",1944,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","semi,unskilled manual workers","unskilled occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,NA,NA,NA,NA,NA,65
"44",10162771,"female","april",1963,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","routine non-manual employees","skilled non-manual","inapplicable","inapplicable","From the panel",1,NA,NA,NA,NA,NA,46
"45",10163492,"female","november",1952,"original sample",-8,"white","don't know","missing or wild","not applicable",-8,"not applicable",-8,16,"not applicable","not applicable","inapplicable","missing","missing or wild","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,57
"46",10174729,"female","march",1943,"original sample",32,"black-carib","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,66
"47",10175849,"female","november",1942,"original sample",39,"other ethnic grp","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","sml props w/o employees","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,67
"48",10178058,"female","november",1937,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,14,"not applicable","semi,unskilled manual workers","skilled manual","skilled manual workers","skilled manual","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,72
"49",10185917,"female","september",1943,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","semi,unskilled manual workers","partly skilled occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,66
"50",10188126,"female","january",1950,"original sample",72,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,59
"51",10188533,"female","july",1956,"original sample",85,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,17,"not applicable","skilled manual workers","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,53
"52",10192638,"female","july",1948,"original sample",-8,"inapplicable","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,-8,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,61
"53",10192972,"female","november",1961,"original sample",-8,"white","inapplicable","don't know","not applicable",-8,"not applicable",-8,18,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","From the panel",4,NA,1,NA,NA,NA,48
"54",10193758,"female","february",1956,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","routine non-manual employees","skilled non-manual","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","Wave 2",3,NA,1,NA,NA,NA,53
"55",10197087,"female","may",1948,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","routine non-manual employees","skilled non-manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,61
"56",10200436,"female","september",1958,"original sample",23,"black-african","don't know","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","From the panel",1,NA,NA,NA,NA,NA,51
"57",10210547,"female","february",1960,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","service class,lower grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,49
"58",10211292,"female","february",1958,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","foreman,technicians","skilled manual","semi,unskilled manual workers","unskilled occ","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,51
"59",10212019,"female","march",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","managerial & technical occ","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","From the panel",2,NA,NA,NA,NA,NA,50
"60",10212418,"female","april",1958,"original sample",23,"black-african","father deceased","inapplicable","not applicable",-8,"not applicable",-8,17,"not applicable","not applicable","inapplicable","sml props w employees","partly skilled occ","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,51
"61",10212752,"female","may",1936,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,NA,NA,NA,NA,NA,73
"62",10214992,"female","march",1960,"original sample",11,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,17,"not applicable","service class,lower grade","managerial & technical occ","service class,higher grade","managerial & technical occ","inapplicable","inapplicable","From the panel",2,1,NA,NA,NA,NA,49
"63",10219471,"female","june",1956,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","skilled manual workers","skilled manual","semi,unskilled manual workers","partly skilled occ","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,53
"64",10230297,"female","august",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","sml props w employees","skilled non-manual","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,50
"65",10243011,"female","august",1963,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,17,"not applicable","service class,higher grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,46
"66",10253068,"female","february",1956,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","semi,unskilled manual workers","partly skilled occ","routine non-manual employees","partly skilled occ","inapplicable","inapplicable","From the panel",1,NA,NA,NA,NA,NA,53
"67",10254218,"female","october",1937,"original sample",-8,"white","don't know","inapplicable","not applicable",-8,"not applicable",-8,17,"not applicable","not applicable","inapplicable","sml props w/o employees","skilled non-manual","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,72
"68",10267611,"female","april",1954,"original sample",26,"black-carib","inapplicable","missing or wild","not applicable",-8,"not applicable",-8,17,"not applicable","semi,unskilled manual workers","partly skilled occ","missing","missing or wild","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,55
"69",10267689,"female","august",1947,"original sample",26,"black-carib","don't know","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,62
"70",10276602,"female","may",1958,"original sample",51,"other ethnic grp","inapplicable","mother not work","not applicable",-8,"not applicable",-8,22,"not applicable","service class,higher grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,51
"71",10278842,"female","april",1953,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","service class,lower grade","skilled manual","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,56
"72",10283692,"female","october",1961,"original sample",23,"black-african","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","service class,lower grade","skilled non-manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,48
"73",10286276,"female","may",1963,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","service class,higher grade","managerial & technical occ","semi,unskilled manual workers","skilled manual","inapplicable","inapplicable","Wave 2",3,NA,NA,NA,NA,NA,46
"74",10300082,"female","april",1955,"original sample",50,"black-african","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,15,"not applicable","skilled manual workers","skilled manual","skilled manual workers","skilled manual","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,54
"75",10301232,"female","march",1961,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","sml props w employees","skilled non-manual","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,48
"76",10303472,"female","march",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,15,"not applicable","semi,unskilled manual workers","skilled manual","skilled manual workers","skilled manual","inapplicable","inapplicable","Wave 2",4,NA,NA,NA,NA,NA,50
"77",10307958,"female","december",1936,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,15,"not applicable","sml props w/o employees","skilled manual","semi,unskilled manual workers","unskilled occ","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,73
"78",10309071,"female","october",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,17,"not applicable","foreman,technicians","armed forces","routine non-manual employees","skilled non-manual","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,50
"79",10313559,"female","february",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","foreman,technicians","partly skilled occ","semi,unskilled manual workers","partly skilled occ","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,50
"80",10319158,"female","august",1947,"original sample",-8,"white","missing or wild","mother not work","not applicable",-8,"not applicable",-8,14,"not applicable","missing","missing or wild","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,62
"81",10322507,"female","january",1947,"original sample",39,"other ethnic grp","father deceased","inapplicable","not applicable",-8,"not applicable",-8,12,"not applicable","not applicable","inapplicable","skilled manual workers","skilled manual","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,62
"82",10323627,"female","may",1964,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","service class,higher grade","professional occ","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,45
"83",10326987,"female","may",1962,"original sample",19,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,18,"not applicable","service class,lower grade","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,47
"84",10331433,"female","july",1959,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","service class,higher grade","professional occ","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","Wave 2",3,1,1,NA,NA,NA,50
"85",10340416,"female","january",1944,"original sample",39,"other ethnic grp","inapplicable","mother not work","not applicable",-8,"not applicable",-8,12,"not applicable","sml props w/o employees","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,NA,1,NA,NA,NA,65
"86",10342656,"female","april",1962,"original sample",34,"indian","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","skilled manual workers","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",5,NA,NA,NA,NA,NA,47
"87",10343776,"female","february",1961,"original sample",34,"indian","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","skilled manual workers","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,48
"88",10347143,"female","august",1939,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,15,"not applicable","skilled manual workers","skilled manual","foreman,technicians","skilled manual","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,70
"89",10353852,"female","october",1944,"original sample",37,"indian","father deceased","inapplicable","not applicable",-8,"not applicable",-8,19,"not applicable","not applicable","inapplicable","sml props w employees","managerial & technical occ","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,65
"90",10356096,"female","september",1941,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","semi,unskilled manual workers","partly skilled occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,68
"91",10357211,"female","may",1957,"original sample",51,"black-african","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,12,"not applicable","service class,higher grade","managerial & technical occ","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","Wave 2",4,NA,NA,NA,NA,NA,52
"92",10358307,"female","march",1963,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","semi,unskilled manual workers","partly skilled occ","semi,unskilled manual workers","unskilled occ","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,46
"93",10363904,"female","may",1954,"original sample",-8,"black-african","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,17,"not applicable","service class,higher grade","managerial & technical occ","sml props w/o employees","managerial & technical occ","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,55
"94",10366148,"female","april",1951,"original sample",-8,"white","father deceased","inapplicable","not applicable",-8,"not applicable",-8,15,"not applicable","not applicable","inapplicable","semi,unskilled manual workers","partly skilled occ","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,58
"95",10376216,"female","june",1943,"original sample",29,"black-carib","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","sml props w/o employees","unskilled occ","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,66
"96",10377379,"female","april",1955,"original sample",-8,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,54
"97",10378456,"female","august",1936,"original sample",29,"refused","father deceased","mother not work","not applicable",-8,"not applicable",-8,-9,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,73
"98",10379606,"female","october",1942,"original sample",84,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,11,"not applicable","foreman,technicians","skilled manual","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,67
"99",10388532,"female","april",1950,"original sample",-8,"white","father not work","inapplicable","not applicable",-8,"not applicable",-8,17,"not applicable","not applicable","inapplicable","routine non-manual employees","partly skilled occ","inapplicable","inapplicable","Wave 2",1,NA,NA,NA,NA,NA,59
"100",10394168,"female","missing",1943,"original sample",-8,"inapplicable","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,-8,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","No children",0,NA,NA,NA,NA,NA,66
"101",10401997,"female","june",1962,"original sample",37,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,16,"not applicable","semi,unskilled manual workers","partly skilled occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,47
"102",10405356,"female","december",1947,"original sample",69,"white","inapplicable","mother not work","not applicable",-8,"not applicable",-8,15,"not applicable","farmers,smallholders","managerial & technical occ","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,62
"103",10408711,"female","may",1946,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,18,"not applicable","sml props w/o employees","skilled manual","service class,lower grade","managerial & technical occ","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,63
"104",10410953,"female","may",1962,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","sml props w/o employees","skilled manual","semi,unskilled manual workers","skilled manual","inapplicable","inapplicable","Wave 2",2,NA,NA,NA,NA,NA,47
"105",10413197,"female","march",1961,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,16,"not applicable","skilled manual workers","skilled manual","semi,unskilled manual workers","unskilled occ","inapplicable","inapplicable","Wave 2",2,1,NA,NA,NA,NA,48
"106",10414282,"female","december",1936,"original sample",30,"black-carib","father deceased","mother not work","not applicable",-8,"not applicable",-8,11,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",8,1,NA,NA,NA,NA,73
"107",10418792,"female","july",1937,"original sample",-8,"white","don't know","mother not work","not applicable",-8,"not applicable",-8,17,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","Wave 2",3,1,NA,NA,NA,NA,72
"108",10418822,"female","october",1960,"original sample",-8,"white","inapplicable","inapplicable","not applicable",-8,"not applicable",-8,-8,"not applicable","not applicable","inapplicable","not applicable","inapplicable","inapplicable","inapplicable","From the panel",1,NA,NA,NA,NA,NA,49
