"","idhous99","idpers_new","idpers","sex","birthm","birthy","age","marstat","intlang","religion","disrel_fr","health","work","income","cfriends","reading","inchild","children","education","fath15","moth15","stepp15","sib15","inear15","ocfath15","edufath","mthwk15","ocmth15","edumth","fathpol","mothpol"
"16",1271,1,127102,"woman",4,1946,53,"married","french","roman catholic","","well","active occupied",10200,2,"at least once a month",0,2,"compulsory or less","yes","no","inapplicable","yes","father","elementary occupations",0,NA,NA,NA,"don't know","don't know"
"17",1411,1,141102,"woman",10,1921,78,"married","french","protestant or reformed church","never","well","not in labor force",37584,NA,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","right","right"
"18",1451,1,145101,"woman",11,1923,76,"widower/widow","french","roman catholic","","so, so (average)","active occupied",-2,8,"every day",0,2,"compulsory or less","yes","yes","inapplicable","no","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"19",1501,1,150101,"woman",4,1936,63,"married","french","protestant or reformed church","","very well","not in labor force",-8,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"no",NA,"compulsory or less","left","no particular tendency"
"20",1521,1,152101,"woman",1,1938,61,"divorced","french","protestant or reformed church","","very well","not in labor force",75684,8,"every day",0,4,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","service workers, market sales workers",NA,"innaplicable","innaplicable"
"21",1631,1,163102,"woman",2,1941,58,"married","french","no denomination or religion","never","very well","active occupied",-2,NA,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"22",1651,1,165102,"woman",4,1940,59,"married","french","roman catholic","","well","not in labor force",-4,4,"every day",0,2,"general training/apprenticeship","no","no","inapplicable","no","mother","elementary occupations",NA,"yes","elementary occupations","general training/apprenticeship","don't know","don't know"
"23",2181,1,218101,"woman",1,1942,57,"divorced","french","other","","so, so (average)","not in labor force",-1,12,"every day",0,5,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",15,"no","technicians and associate professionals","high school","innaplicable","innaplicable"
"24",2201,1,220102,"woman",1,1949,50,"married","french","protestant or reformed church","","well","active occupied",98000,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no",NA,"compulsory or less","centre","right"
"25",2291,1,229102,"woman",12,1949,50,"married","french","roman catholic","","well","active occupied",-4,4,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes",NA,"compulsory or less","right","right"
"26",2471,1,247101,"woman",10,1937,62,"widower/widow","french","roman catholic","","well","not in labor force",-1,1,"every day",3,6,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","right","don't know"
"27",2571,1,257102,"woman",7,1937,62,"married","french","roman catholic","","very well","not in labor force",-2,1,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no",NA,NA,"innaplicable","innaplicable"
"28",2701,1,270101,"woman",12,1938,61,"divorced","french","protestant or reformed church","very often","well","not in labor force",-8,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"yes","elementary occupations","compulsory or less","left","centre"
"29",2711,1,271102,"woman",10,1937,62,"married","french","protestant or reformed church","","well","not in labor force",-4,4,"every day",0,3,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,NA,"centre","no particular tendency"
"30",2761,1,276101,"woman",6,1918,81,"widower/widow","french","protestant or reformed church","","so, so (average)","not in labor force",64800,4,"every day",0,2,"university/postgrad","yes","yes","inapplicable","yes","father",NA,15,"no",NA,"university/postgrad","right","right"
"31",2801,1,280102,"woman",11,1934,65,"married","french","roman catholic","very often","well","not in labor force",-2,28,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","left","other"
"32",2841,1,284101,"woman",7,1943,56,"single, never married","french","protestant or reformed church","","so, so (average)","active occupied",-2,12,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","professionals",5,"no","technicians and associate professionals","general training/apprenticeship","centre","centre"
"33",2851,1,285101,"woman",11,1946,53,"single, never married","french","protestant or reformed church","","so, so (average)","not in labor force",109956,NA,"every day",2,2,"university/postgrad","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"34",2871,1,287102,"woman",8,1947,52,"married","french","protestant or reformed church","","very well","active occupied",-1,4,"every day",1,1,"university/postgrad","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",15,"no","technicians and associate professionals","general training/apprenticeship","right","no particular tendency"
"35",2881,1,288101,"woman",3,1937,62,"widower/widow","french","roman catholic","","well","not in labor force",-2,NA,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","right","don't know"
"36",2891,1,289101,"woman",11,1942,57,"single, never married","french","roman catholic","","well","not in labor force",99960,8,"every day",0,0,"high school","yes","yes","inapplicable","no","mother","craft and related trades workers",5,"yes","elementary occupations","compulsory or less","left","left"
"37",2991,1,299102,"woman",4,1924,75,"married","french","protestant or reformed church","","so, so (average)","not in labor force",-1,NA,"every day",0,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"38",3011,1,301102,"woman",2,1932,67,"married","french","other","","well","not in labor force",-1,1,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"yes","legislators, senior officials, managers","general training/apprenticeship","right","right"
"39",3101,1,310102,"woman",11,1950,49,"married","german","other","","well","active occupied",-2,1,"at least once a week",2,2,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",15,"no","professionals","compulsory or less","right","no particular tendency"
"40",3261,1,326101,"woman",1,1951,48,"single, never married","french","protestant or reformed church","","well","active occupied",31416,4,"every day",0,0,"general training/apprenticeship","yes","no","inapplicable","yes","father","technicians and associate professionals",3,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"41",3321,1,332101,"woman",7,1941,58,"married","french","protestant or reformed church","never","very well","not in labor force",-4,1,"at least once a week",1,1,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"yes","technicians and associate professionals","high school","right","right"
"42",3411,1,341102,"woman",8,1934,65,"married","french","protestant or reformed church","","very well","active occupied",2000,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",5,"no",NA,"general training/apprenticeship","don't know","don't know"
"43",3521,1,352101,"woman",1,1942,57,"divorced","french","no denomination or religion","never","so, so (average)","active occupied",108290,4,"every day",2,3,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"yes","professionals","high school","left","left"
"44",3761,1,376102,"woman",9,1935,64,"married","french","roman catholic","","so, so (average)","not in labor force",-8,1,"less than once a month",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no","elementary occupations","compulsory or less","innaplicable","innaplicable"
"45",3771,1,377101,"woman",9,1921,78,"widower/widow","german","roman catholic","never","very well","not in labor force",24120,4,"at least once a week",0,8,"compulsory or less","no","yes","inapplicable","yes","mother","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","other","other"
"46",4041,1,404102,"woman",9,1948,51,"married","french","protestant or reformed church","","very well","active occupied",-2,8,"at least once a week",1,1,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"47",4071,1,407101,"woman",11,1929,70,"divorced","french","no denomination or religion","never","so, so (average)","not in labor force",-2,NA,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"no",NA,"compulsory or less","centre","other"
"48",4281,1,428101,"woman",12,1918,81,"widower/widow","french","roman catholic","very often","very well","not in labor force",-2,28,"never",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"49",4361,1,436102,"woman",12,1954,45,"married","french","roman catholic","","well","not in labor force",-2,4,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no",NA,"compulsory or less","centre","no particular tendency"
"50",4421,1,442102,"woman",8,1953,46,"married","french","roman catholic","","so, so (average)","active occupied",195000,1,"every day",0,0,"university/postgrad","yes","yes","inapplicable","no","father","service workers, market sales workers",5,"yes","service workers, market sales workers",NA,"right","right"
"51",4561,1,456101,"woman",7,1952,47,"separated","french","no denomination or religion","never","not well at all","not in labor force",42000,8,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","no","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"52",4631,1,463102,"woman",3,1945,54,"married","french","protestant or reformed church","","very well","active occupied",-5,3,"every day",1,3,"high school","yes","yes","inapplicable","no","father","elementary occupations",3,"no",NA,"general training/apprenticeship","other","other"
"53",4661,1,466102,"woman",11,1939,60,"married","french","roman catholic","","very well","active occupied",-2,4,"every day",0,0,"compulsory or less","no","yes","inapplicable","yes","mother","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","don't know","left"
"54",4801,1,480101,"woman",8,1926,73,"divorced","french","no denomination or religion","never","well","not in labor force",-2,12,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father",NA,1,"no",NA,"high school","innaplicable","innaplicable"
"55",4821,1,482102,"woman",9,1952,47,"married","french","other","","well","active occupied",-8,1,"at least once a week",2,2,"high school","yes","yes","inapplicable","no","father","technicians and associate professionals",5,"yes","service workers, market sales workers","compulsory or less","right","right"
"56",4911,1,491101,"woman",6,1938,61,"married","french","roman catholic","never","so, so (average)","not in labor force",-4,1,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","left","left"
"57",4941,1,494102,"woman",4,1935,64,"married","french","other","","well","not in labor force",-2,2,"every day",0,1,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",0,"no","craft and related trades workers","general training/apprenticeship","right","right"
"58",4951,1,495101,"woman",12,1947,52,"married","french","no denomination or religion","","so, so (average)","active occupied",153153,4,"at least once a week",0,0,"university/postgrad","yes","yes","inapplicable","no","father","professionals",0,"no",NA,"high school","left","centre"
"59",5041,1,504102,"woman",3,1944,55,"married","french","roman catholic","","well","not in labor force",-4,4,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","elementary occupations",5,"no",NA,"high school","right","right"
"60",5211,1,521102,"woman",6,1924,75,"married","german","roman catholic","","well","active occupied",-2,NA,"every day",0,8,"compulsory or less","yes","yes","inapplicable","yes","mother","elementary occupations",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"61",5251,1,525101,"woman",4,1929,70,"widower/widow","french","roman catholic","never","so, so (average)","not in labor force",-2,NA,"every day",0,0,"compulsory or less","yes","no","inapplicable","yes","father","skilled agricultural and fishery workers",0,"no",NA,"compulsory or less","innaplicable","innaplicable"
"62",5281,1,528101,"woman",6,1928,71,"single, never married","french","roman catholic","never","well","not in labor force",-2,NA,"at least once a week",0,0,"compulsory or less","yes","yes","inapplicable","yes","mother",NA,1,"yes","craft and related trades workers","compulsory or less","other","other"
"63",5411,1,541102,"woman",3,1939,60,"married","french","protestant or reformed church","","well","not in labor force",-4,3,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no","elementary occupations","general training/apprenticeship","innaplicable","innaplicable"
"64",5601,1,560102,"woman",6,1953,46,"married","french","other","","so, so (average)","not in labor force",-4,4,"every day",1,1,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",15,"no",NA,"compulsory or less","don't know","don't know"
"65",5651,1,565102,"woman",11,1942,57,"married","french","protestant or reformed church","","well","active occupied",26000,8,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","mother","service workers, market sales workers",1,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"66",5801,1,580102,"woman",4,1947,52,"married","french","roman catholic","","very well","not in labor force",-2,4,"every day",1,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",1,"no",NA,"compulsory or less","centre","centre"
"67",5821,1,582102,"woman",3,1939,60,"married","french","roman catholic","never","very well","not in labor force",-8,1,"every day",0,2,"high school","yes","yes","inapplicable","no","both equally","craft and related trades workers",3,"yes","craft and related trades workers","compulsory or less","right","no particular tendency"
"68",5861,1,586102,"woman",3,1933,66,"married","french","protestant or reformed church","","well","not in labor force",-2,2,"less than once a month",0,2,"high school","yes","yes","inapplicable","yes","both equally","professionals",5,"yes","professionals","high school","right","right"
"69",5881,1,588101,"woman",7,1929,70,"married","french","roman catholic","","not very well","not in labor force",20671.2,2,"every day",1,4,"compulsory or less","no","no","inapplicable","yes","father","technicians and associate professionals",5,"no",NA,"compulsory or less","innaplicable","innaplicable"
"70",5891,1,589102,"woman",6,1946,53,"married","german","roman catholic","","well","active occupied",-2,8,"every day",1,3,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no",NA,NA,"centre","centre"
"71",5901,1,590102,"woman",1,1952,47,"married","french","protestant or reformed church","never","very well","active occupied",95914,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",NA,"no","craft and related trades workers","general training/apprenticeship","centre","centre"
"72",5981,1,598101,"woman",10,1930,69,"widower/widow","french","protestant or reformed church","","well","not in labor force",38880,12,"every day",0,1,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","elementary occupations","compulsory or less","centre","centre"
"73",6001,1,600101,"woman",12,1934,65,"divorced","french","protestant or reformed church","never","very well","not in labor force",-8,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no","service workers, market sales workers","general training/apprenticeship","other","other"
"74",6021,1,602101,"woman",8,1942,57,"divorced","french","protestant or reformed church","","so, so (average)","active occupied",58151.73,4,"at least once a week",0,1,"high school","no","yes","inapplicable","yes","mother",NA,NA,"yes","service workers, market sales workers",NA,"don't know","don't know"
"75",6211,1,621102,"woman",12,1941,58,"married","french","protestant or reformed church","never","so, so (average)","not in labor force",-4,3,"every day",0,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"76",6241,1,624101,"woman",9,1920,79,"widower/widow","french","protestant or reformed church","","well","not in labor force",-4,8,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"yes","service workers, market sales workers",NA,"innaplicable","innaplicable"
"77",6251,1,625102,"woman",2,1943,56,"married","french","protestant or reformed church","never","well","not in labor force",-4,4,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","both equally","elementary occupations",1,"yes","craft and related trades workers","compulsory or less","no particular tendency","left"
"78",6261,1,626101,"woman",6,1928,71,"divorced","french","no denomination or religion","","well","active occupied",-2,NA,"every day",0,0,"high school","no","no","inapplicable","no","a guardian","technicians and associate professionals",5,"no",NA,"university/postgrad","don't know","don't know"
"79",6301,1,630102,"woman",3,1936,63,"married","french","protestant or reformed church","","so, so (average)","not in labor force",-2,4,"every day",0,1,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"80",6581,1,658102,"woman",7,1948,51,"married","french","roman catholic","","well","not in labor force",-1,4,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",15,"yes","legislators, senior officials, managers",NA,"innaplicable","innaplicable"
"81",6601,1,660101,"woman",4,1924,75,"married","french","protestant or reformed church","never","very well","not in labor force",-8,NA,"every day",0,2,"compulsory or less","no","no","inapplicable","no","a guardian","elementary occupations",NA,"no",NA,"high school","innaplicable","innaplicable"
"82",6631,1,663101,"woman",4,1949,50,"widower/widow","french","roman catholic","","very well","not in labor force",-2,1,"at least once a week",2,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"83",6661,1,666102,"woman",11,1951,48,"married","french","roman catholic","","so, so (average)","not in labor force",-4,28,"every day",2,2,"high school","yes","yes","inapplicable","yes","both equally","technicians and associate professionals",5,"yes","technicians and associate professionals","high school","centre","centre"
"84",6771,1,677101,"woman",10,1926,73,"married","french","no denomination or religion","","so, so (average)","not in labor force",-5,1,"every day",0,4,"compulsory or less","no","yes","inapplicable","yes","mother","professionals",15,"yes","technicians and associate professionals","high school","centre","centre"
"85",6781,1,678102,"woman",3,1938,61,"married","french","roman catholic","","well","not in labor force",-4,4,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",1,"yes","service workers, market sales workers","compulsory or less","right","right"
"86",6821,1,682101,"woman",4,1933,66,"divorced","french","roman catholic","","so, so (average)","active occupied",68400,1,"never",1,3,"high school","no","yes","inapplicable","yes","mother","professionals",5,"no",NA,"compulsory or less","other","centre"
"87",6831,1,683102,"woman",12,1953,46,"married","french","roman catholic","","well","not in labor force",-2,1,"every day",2,2,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",15,"no","professionals","high school","right","right"
"88",7011,1,701101,"woman",10,1926,73,"widower/widow","french","roman catholic","","very well","not in labor force",-8,2,"every day",0,0,"compulsory or less","yes","no","inapplicable","yes","father","craft and related trades workers",NA,NA,NA,NA,"other","other"
"89",7091,1,709102,"woman",5,1944,55,"married","french","roman catholic","","well","not in labor force",-4,2,"every day",1,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","centre","don't know"
"90",7131,1,713101,"woman",9,1919,80,"single, never married","french","protestant or reformed church","","well","not in labor force",-4,NA,"every day",0,0,"university/postgrad","no","no","inapplicable","no","father","professionals",15,"no",NA,NA,"centre","don't know"
"91",7191,1,719102,"woman",4,1938,61,"married","french","roman catholic","","well","not in labor force",-2,12,"every day",0,3,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","technicians and associate professionals",1,"no",NA,"general training/apprenticeship","don't know","don't know"
"92",7221,1,722101,"woman",9,1954,45,"divorced","french","no denomination or religion","","well","active occupied",72000,8,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","centre","centre"
"93",7231,1,723102,"woman",12,1944,55,"married","french","no denomination or religion","","very well","active occupied",-1,4,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",NA,"yes","technicians and associate professionals",NA,"left","left"
"94",7291,1,729101,"woman",5,1935,64,"divorced","french","protestant or reformed church","","very well","not in labor force",33696,12,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","left","no particular tendency"
"95",7311,1,731101,"woman",8,1925,74,"single, never married","french","protestant or reformed church","never","very well","not in labor force",-2,4,"every day",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",NA,"no",NA,NA,"right","no particular tendency"
"96",7361,1,736101,"woman",2,1930,69,"widower/widow","french","no denomination or religion","","well","not in labor force",-2,2,"every day",0,3,"high school","yes","no","inapplicable","yes","father","professionals",15,"no",NA,"compulsory or less","left","left"
"97",7411,1,741102,"woman",4,1928,71,"married","french","roman catholic","never","so, so (average)","not in labor force",-1,2,"every day",0,1,"compulsory or less","yes","yes","inapplicable","no","father","craft and related trades workers",1,"yes","elementary occupations","compulsory or less","don't know","don't know"
"98",7511,1,751101,"woman",3,1920,79,"married","french","roman catholic","very often","very well","not in labor force",-8,4,"every day",0,4,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",5,"no",NA,"compulsory or less","innaplicable","innaplicable"
"99",7531,1,753102,"woman",3,1951,48,"married","french","roman catholic","","very well","not in labor force",-2,20,"every day",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","professionals",5,"no",NA,"high school","right","right"
"100",7591,1,759101,"woman",1,1951,48,"divorced","french","protestant or reformed church","","well","active occupied",-8,4,"every day",1,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",3,"yes",NA,"general training/apprenticeship","innaplicable","innaplicable"
"101",7611,1,761101,"woman",6,1928,71,"widower/widow","french","roman catholic","very often","well","not in labor force",-2,4,"every day",0,5,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","centre","centre"
"102",7681,1,768101,"woman",9,1937,62,"divorced","french","roman catholic","","very well","active occupied",59800,4,"every day",0,3,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"yes","legislators, senior officials, managers","high school","right","right"
"103",7721,1,772102,"woman",5,1947,52,"married","french","other","","well","active occupied",32500,4,"every day",0,1,"high school","yes","yes","inapplicable","no","father","skilled agricultural and fishery workers",0,"no",NA,"compulsory or less","innaplicable","innaplicable"
"104",7731,1,773101,"woman",3,1929,70,"widower/widow","french","protestant or reformed church","","well","not in labor force",-2,1,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","left","no particular tendency"
"105",7761,1,776101,"woman",8,1949,50,"divorced","french","roman catholic","","very well","active occupied",77350,4,"every day",1,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no","craft and related trades workers","general training/apprenticeship","right","right"
"106",7781,1,778101,"woman",2,1919,80,"widower/widow","french","protestant or reformed church","never","very well","not in labor force",-2,NA,"never",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",NA,"no",NA,"compulsory or less","right","no particular tendency"
"107",7801,1,780102,"woman",4,1938,61,"married","french","other","","so, so (average)","not in labor force",-2,NA,"every day",0,1,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",0,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"108",7901,1,790101,"woman",10,1946,53,"divorced","french","no denomination or religion","","very well","active occupied",-2,8,"every day",1,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","right","right"
"109",7911,1,791102,"woman",11,1946,53,"married","french","protestant or reformed church","","well","active occupied",-2,1,"every day",2,2,"university/postgrad","yes","yes","inapplicable","no","father","professionals",15,"yes","technicians and associate professionals","university/postgrad","innaplicable","innaplicable"
"110",7931,1,793101,"woman",12,1937,62,"married","french","protestant or reformed church","","well","not in labor force",-2,24,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","compulsory or less","right","no particular tendency"
"111",8001,1,800102,"woman",12,1953,46,"married","french","roman catholic","never","so, so (average)","active occupied",-4,1,"every day",1,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no","service workers, market sales workers","high school","innaplicable","innaplicable"
"112",8021,1,802102,"woman",10,1931,68,"married","german","roman catholic","","well","active occupied",-4,4,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","compulsory or less","left","no particular tendency"
"113",8281,1,828102,"woman",4,1952,47,"married","french","protestant or reformed church","","very well","active occupied",85085,4,"every day",2,2,"general training/apprenticeship","no","yes","inapplicable","yes","mother",NA,NA,"no",NA,"compulsory or less","centre","no particular tendency"
