"","DOCNO","WEEKS","NUMBIDS","TAKEOVER","BIDPREM","INSTHOLD","SIZE","LEGLREST","REALREST","FINREST","REGULATN","WHTKNGHT","SIZESQ","CONSTANT"
"16",79032,14.28600025177,1,1,1.61458301544189,0.0379999987781048,0.113908000290394,0,0,0,0,0,0.0129749998450279,1
"17",79033,8.28600025177002,3,1,1.34937798976898,0.0610000006854534,0.180093005299568,1,0,0,0,1,0.0324329994618893,1
"18",79034,20.4290008544922,2,1,1.32224702835083,0.112000003457069,0.551584005355835,0,0,0,0,1,0.304244995117188,1
"19",79036,10,2,1,1.40221798419952,0.328999996185303,0.223570004105568,0,0,0,0,1,0.0499840006232262,1
"20",80001,13.1429996490479,1,1,1.53641796112061,0.0810000002384186,0.0809819996356964,0,0,0,0,0,0.00655800011008978,1
"21",80002,24.4290008544922,3,1,1.51046502590179,0.0810000002384186,0.135536998510361,0,0,0,1,0,0.0183700006455183,1
"22",80004,16.7140007019043,1,1,1.53060102462769,0.0869999974966049,0.111915998160839,0,0,0,0,1,0.0125249996781349,1
"23",80008,7.28599977493286,2,1,1.31952905654907,0.0839999988675117,0.74982100725174,1,1,0,0,1,0.56223201751709,1
"24",80011,19.5709991455078,4,1,0.953460991382599,0.29899999499321,1.29939699172974,1,0,0,1,1,1.68843305110931,1
"25",80014,10.28600025177,1,1,1.57316100597382,0,0.0525370016694069,1,0,0,1,1,0.00276000006124377,1
"26",80015,9.71399974822998,1,1,1.44562196731567,0.0799999982118607,0.0353210009634495,0,0,0,0,1,0.00124799995683134,1
"27",80016,6.71400022506714,1,1,1.41942894458771,0.296999990940094,0.119377002120018,0,0,0,0,1,0.0142510002478957,1
"28",80019,5.71400022506714,1,1,1.43887400627136,0.0790000036358833,0.10462299734354,0,0,0,0,0,0.010945999994874,1
"29",80020,17,4,1,1.3352530002594,0.372999995946884,0.207560002803802,1,0,0,1,1,0.0430810004472733,1
"30",80024,8.42899990081787,1,1,1.20900797843933,0.210999995470047,0.22163699567318,0,0,0,1,0,0.0491230003535748,1
"31",80026,7.28599977493286,2,1,1.21710705757141,0,0.0306860003620386,0,1,0,0,1,0.000942000013310462,1
"32",80030,13.5710000991821,1,1,1.67327904701233,0.272000014781952,0.424542993307114,1,0,0,0,1,0.180236995220184,1
"33",81001,11.1429996490479,4,1,1.58799302577972,0.11599999666214,0.0766680017113686,1,0,1,0,1,0.00587800005450845,1
"34",81003,4,1,1,1.36541795730591,0.126000002026558,2.96595191955566,0,0,0,0,0,8.79687118530273,1
"35",81004,5.14300012588501,1,1,1.67973697185516,0.41499999165535,1.76488900184631,1,1,1,0,1,3.11483311653137,1
"36",81006,14.8570003509521,10,1,1.3031519651413,0.495999991893768,11.0362997055054,1,1,0,1,1,121.799911499023,1
"37",81008,7.71400022506714,1,1,1.39437305927277,0.00100000004749745,0.024125000461936,0,0,0,0,0,0.000582000007852912,1
"38",81010,4.71400022506714,1,1,1.42855405807495,0.196999996900558,2.01038193702698,0,0,0,0,0,4.04163599014282,1
"39",81011,12.4289999008179,1,1,1.38961398601532,0.116999998688698,0.0610780008137226,0,0,0,0,1,0.00373100000433624,1
"40",81014,8.85700035095215,1,1,1.39661204814911,0.0689999982714653,0.107059001922607,0,1,0,0,1,0.0114620001986623,1
"41",81015,11,1,1,1.74514400959015,0.141000002622604,0.292953014373779,1,0,0,0,0,0.0858210027217865,1
"42",81016,21.4290008544922,2,1,1.75529396533966,0.0599999986588955,0.120223999023438,1,0,0,1,1,0.0144539996981621,1
"43",81017,9.71399974822998,1,1,1.2464519739151,0.188999995589256,0.215708002448082,1,0,0,0,1,0.0465300008654594,1
"44",81020,5.14300012588501,2,1,1.49177002906799,0.372999995946884,0.953881978988647,1,0,0,1,1,0.90989100933075,1
"45",81024,21.7140007019043,1,1,1.89038097858429,0.319999992847443,0.320775002241135,1,0,0,1,0,0.102897003293037,1
"46",81028,5.71400022506714,2,1,1.4309469461441,0.485000014305115,5.04308891296387,1,1,0,1,1,25.4327449798584,1
"47",81030,6.85699987411499,1,1,1.30439496040344,0.0350000001490116,0.050246000289917,1,0,0,0,1,0.00252499990165234,1
"48",81031,10,1,1,1.27794194221497,0.0480000004172325,0.0835229977965355,1,0,0,1,1,0.006976000033319,1
"49",82001,4.14300012588501,1,1,1.37327599525452,0.0599999986588955,0.440405994653702,0,1,0,0,0,0.19395700097084,1
"50",82006,11.28600025177,3,1,1.34238004684448,0.321999996900558,0.680757999420166,1,0,0,1,1,0.463431000709534,1
"51",82007,10.5710000991821,1,1,1.31989395618439,0.238999992609024,0.608148992061615,1,0,0,0,0,0.369845002889633,1
"52",82015,10,2,1,1.90454697608948,0.0799999982118607,0.0678550004959106,0,0,0,1,1,0.00460400013253093,1
"53",82016,14.71399974823,4,1,1.37416994571686,0.358000010251999,6.04850006103516,1,1,0,1,1,36.5843544006348,1
"54",82022,4.14300012588501,1,1,1.75431299209595,0.476000010967255,0.229478001594543,0,0,0,0,0,0.0526599995791912,1
"55",82023,18.2859992980957,3,1,1.35187304019928,0.151999995112419,0.0763790011405945,0,0,0,0,1,0.00583400018513203,1
"56",82024,26.8570003509521,1,1,1.45876598358154,0.575999975204468,1.12093901634216,1,1,0,0,1,1.25650405883789,1
"57",82025,7,1,1,1.30553495883942,0.223000004887581,0.104418002068996,0,0,0,0,0,0.0109029999002814,1
"58",82027,14,3,1,1.6020929813385,0.252999991178513,3.21849989891052,1,0,0,0,1,10.3587417602539,1
"59",82031,4.85699987411499,2,1,1.04561698436737,0.0500000007450581,0.0565700009465218,1,0,0,0,0,0.0031999999191612,1
"60",82033,25.8570003509521,2,1,1.41965198516846,0.140000000596046,0.0470790006220341,1,0,0,0,0,0.00221600010991096,1
"61",82034,7.14300012588501,0,1,1.35598194599152,0.0219999998807907,0.0496399998664856,0,0,0,1,0,0.00246399990282953,1
"62",82037,7,3,1,1.29642105102539,0.0759999975562096,0.120998002588749,0,0,0,0,1,0.0146409999579191,1
"63",82038,7.14300012588501,0,1,1.40265703201294,0.34799998998642,3.71120595932007,0,1,1,1,0,13.7730493545532,1
"64",82039,6.42899990081787,1,1,1.31324195861816,0.579999983310699,0.524076998233795,1,0,1,0,1,0.274657011032104,1
"65",82040,8.85700035095215,6,1,1.29405403137207,0.105999998748302,0.407734990119934,0,0,0,0,1,0.166247993707657,1
"66",83008,14.8570003509521,2,1,1.36292195320129,0.0649999976158142,0.162965998053551,0,0,1,0,1,0.0265580005943775,1
"67",83009,10.28600025177,2,1,1.21073198318481,0.179000005125999,0.229662001132965,0,0,0,0,1,0.0527449995279312,1
"68",83010,11.4289999008179,1,1,1.4340980052948,0.232999995350838,2.83290910720825,0,0,0,1,0,8.02537441253662,1
"69",83011,5,2,1,1.42125296592712,0.0260000005364418,0.133305996656418,0,0,0,0,1,0.0177699998021126,1
"70",83012,6.57100009918213,1,1,1.5086829662323,0.575999975204468,0.190389007329941,0,0,1,0,0,0.0362479984760284,1
"71",83013,7.57100009918213,1,1,1.33411800861359,0.13400000333786,0.0184470005333424,1,0,0,0,1,0.000339999998686835,1
"72",83014,7,5,1,1.16026604175568,0.375,2.19317293167114,1,0,0,0,1,4.81000804901123,1
"73",83015,38,3,1,1.27545499801636,0,0.266395002603531,0,1,0,0,1,0.0709659978747368,1
"74",83016,10,6,1,1.14367198944092,0.0500000007450581,0.0908629968762398,1,0,0,0,1,0.00825599953532219,1
"75",83017,8.28600025177002,1,1,1.12699997425079,0.120999999344349,2.41350388526917,0,0,0,1,1,5.82500076293945,1
"76",83018,39.5709991455078,2,1,1.2012130022049,0.177000001072884,0.162983998656273,0,0,0,0,1,0.0265640001744032,1
"77",83019,6.42899990081787,1,1,1.40400004386902,0.270999997854233,0.0894059985876083,0,0,0,0,0,0.00799299962818623,1
"78",83020,5.85699987411499,1,1,1.3932249546051,0.172999992966652,0.534592986106873,0,0,0,0,0,0.285789996385574,1
"79",83021,19.5709991455078,2,1,1.29845094680786,0.25900000333786,0.12304800003767,0,0,0,0,0,0.0151410000398755,1
"80",84002,5.85699987411499,3,1,1.29446303844452,0.207000002264977,9.92448806762695,0,0,0,0,0,98.4954605102539,1
"81",84003,7,1,1,1.26167404651642,0.0450000017881393,0.188813999295235,0,0,0,1,0,0.0356509983539581,1
"82",84004,7.57100009918213,1,1,1.05862295627594,0.20100000500679,0.52530699968338,0,0,1,0,1,0.275947004556656,1
"83",84009,18.4290008544922,2,1,1.21312701702118,0.402999997138977,20.9640007019043,1,0,0,1,1,439.489318847656,1
"84",84012,5.71400022506714,1,1,1.20820498466492,0.126000002026558,0.0698240026831627,0,0,0,0,0,0.00487500010058284,1
"85",84013,15.28600025177,1,1,1.63316798210144,0.214000001549721,22.1690006256104,0,0,0,1,0,491.464599609375,1
"86",84014,5.71400022506714,3,1,1.17412495613098,0.0710000023245811,0.0860449969768524,0,0,0,0,1,0.00740400003269315,1
"87",84017,12.4289999008179,3,1,1.28125095367432,0.384999990463257,0.689140975475311,0,0,0,1,0,0.474914997816086,1
"88",84019,3.57100009918213,2,1,1.13093996047974,0.0719999969005585,0.215534999966621,0,0,0,0,0,0.0464549995958805,1
"89",84022,4.28599977493286,1,1,1.20638000965118,0.903999984264374,0.312848001718521,1,0,0,1,1,0.0978740006685257,1
"90",84027,5.14300012588501,2,1,0.942674994468689,0.202999994158745,0.949398994445801,1,0,0,1,0,0.901358008384705,1
"91",84028,8.14299964904785,1,1,1.39708602428436,0.31700000166893,0.128793001174927,0,0,0,0,1,0.0165880005806684,1
"92",84029,19.2859992980957,1,1,1.49316298961639,0.41100001335144,0.0633750036358833,1,0,0,0,1,0.00401599984616041,1
"93",84030,6,1,1,1.32065498828888,0.474000006914139,1.56219494342804,1,1,0,0,0,2.44045305252075,1
"94",84032,14.5710000991821,1,1,1.15400004386902,0,0.0177219994366169,0,0,0,0,1,0.000314000004436821,1
"95",84034,3.14299988746643,0,1,1.39176499843597,0.381999999284744,0.221153005957603,1,0,1,0,1,0.0489090010523796,1
"96",84035,6.14300012588501,1,1,1.31454002857208,0.486000001430511,2.88007688522339,0,1,0,0,1,8.29484272003174,1
"97",84037,9,0,1,1.58464002609253,0.528999984264374,0.339680999517441,0,0,0,0,1,0.115382999181747,1
"98",84039,8.85700035095215,1,1,1.38492500782013,0.197999998927116,0.0221350006759167,0,0,0,0,1,0.000490000005811453,1
"99",84041,37.7140007019043,1,1,1.03850305080414,0,0.880029022693634,0,1,0,0,1,0.774451017379761,1
"100",84048,5.42899990081787,1,1,1.227942943573,0,0.0909160003066063,0,0,0,0,0,0.00826600007712841,1
"101",84053,6.85699987411499,1,1,1.49134397506714,0.474000006914139,0.402572005987167,1,0,0,0,0,0.162064000964165,1
"102",84057,5.28599977493286,2,1,1.09828495979309,0.462999999523163,6.38827705383301,0,0,0,0,1,40.8100852966309,1
"103",84058,4.57100009918213,1,1,1.20878994464874,0.574000000953674,0.490397989749908,1,1,0,0,0,0.24049000442028,1
"104",84060,4.85699987411499,1,1,1.30097603797913,0.363999992609024,0.2291100025177,0,0,0,0,1,0.0524910017848015,1
"105",85006,15.8570003509521,2,1,1.11314594745636,0.0719999969005585,0.0795829966664314,0,0,0,0,1,0.00633300002664328,1
"106",85009,6.71400022506714,2,1,1.19854998588562,0.642000019550323,0.884122014045715,0,0,0,0,0,0.78167200088501,1
"107",85011,5,1,1,1.41669702529907,0.439000010490417,4.00069904327393,1,1,0,0,1,16.0055923461914,1
"108",85013,6.14300012588501,1,1,1.434406042099,0.462999999523163,0.0845530033111572,0,0,0,0,1,0.00714900018647313,1
"109",85016,10.1429996490479,1,1,1.31646704673767,0.526000022888184,1.41680002212524,0,0,0,0,0,2.00732207298279,1
"110",85018,6.57100009918213,0,1,1.21899998188019,0.328000009059906,0.516489028930664,0,1,0,0,0,0.266761004924774,1
"111",85023,19.2859992980957,0,1,1.23321402072906,0.418999999761581,2.53279995918274,1,1,0,0,1,6.41507577896118,1
"112",85024,3.85700011253357,2,1,1.24900698661804,0.426999986171722,1.45341801643372,1,1,0,0,1,2.11242389678955,1
"113",85025,18.1429996490479,1,1,1.23773205280304,0.34799998998642,0.288937002420425,0,0,0,0,0,0.0834849998354912,1
"114",85026,7.42899990081787,1,1,1.20264005661011,0.460999995470047,0.939445018768311,0,0,0,0,0,0.882556974887848,1
"115",85027,5,1,1,1.03314101696014,0.170000001788139,0.353300988674164,0,0,0,0,0,0.124821998178959,1
"116",85033,12.1429996490479,1,1,1.18799996376038,0.163000002503395,0.0388629995286465,0,0,0,1,1,0.00150999997276813,1
"117",85035,16.4290008544922,2,1,1.17658698558807,0.437000006437302,0.150459006428719,1,0,0,0,0,0.0226380005478859,1
"118",85041,11.71399974823,7,1,1.13062405586243,0.620999991893768,2.3113648891449,1,1,1,0,1,5.34240818023682,1
"119",85042,14.28600025177,2,1,1.22362494468689,0.617999970912933,0.375492990016937,0,0,0,0,1,0.140994995832443,1
"120",85043,20,4,1,1.08375895023346,0.528999984264374,1.1593279838562,1,1,0,0,1,1.34404098987579,1
"121",85046,6,2,1,1.24161505699158,0.388000011444092,0.271521985530853,0,0,0,1,0,0.0737240016460419,1
"122",85048,6,4,1,1.44540202617645,0.421999990940094,0.93529999256134,0,0,1,0,1,0.874786019325256,1
"123",85050,25.2859992980957,3,1,1.28211498260498,0.513000011444092,0.525705993175507,1,0,1,0,1,0.276367008686066,1
"124",85051,31,2,1,1.43662703037262,0.143999993801117,0.17425699532032,1,0,1,0,0,0.0303659997880459,1
"125",85052,6.28599977493286,0,1,1.27199995517731,0.361000001430511,0.642903983592987,0,1,0,0,0,0.413325995206833,1
"126",85059,10,1,1,1.03287494182587,0.44200000166893,3.47508001327515,1,0,1,1,1,12.0761814117432,1
